Time,Temperature,Vibration,Pressure,Humidity,Current,RPM,Voltage,Sound,Machine_Status
1,42,0.83,137,63,8,2317,220,106,Warning
2,78,0.37,124,44,24,2730,213,108,Warning
3,26,0.02,141,89,48,1168,217,44,Failure
4,46,1.49,159,35,35,2870,219,52,Failure
5,51,0.83,102,60,13,1547,260,116,Warning
6,96,0.55,112,57,22,1060,215,48,Failure
7,76,1.46,91,62,27,1020,225,45,Failure
8,57,0.62,135,81,28,1815,227,31,Warning
9,59,1.29,127,75,11,2473,260,52,Failure
10,64,1.5,103,66,42,2899,260,79,Failure
11,53,1.33,120,40,49,2933,208,50,Failure
12,28,1.41,167,65,27,2738,252,72,Failure
13,96,0.98,171,61,17,2715,212,70,Failure
14,81,0.43,152,44,21,1336,209,77,Failure
15,52,0.37,169,43,23,2732,233,63,Failure
16,94,0.39,122,78,37,852,238,74,Failure
17,77,0.59,155,69,8,2346,201,100,Warning
18,20,0.53,109,51,47,2431,233,97,Failure
19,41,1.33,179,90,48,2350,226,90,Failure
20,53,1.46,146,50,11,1842,248,108,Failure
21,72,0.13,124,55,42,1146,231,81,Failure
22,98,1.45,94,90,32,1484,228,55,Failure
23,35,1.07,140,71,42,1765,205,55,Failure
24,86,0.13,158,51,39,2526,237,80,Failure
25,48,0.55,118,85,27,2433,252,58,Normal
26,87,1.43,149,36,47,1275,232,96,Failure
27,33,0.32,126,40,40,2627,228,78,Warning
28,44,1.03,127,42,38,2531,238,57,Warning
29,61,0.82,154,60,44,1939,260,48,Failure
30,74,1.08,139,32,41,2364,239,118,Failure
31,61,0.21,167,59,11,2516,245,48,Failure
32,65,0.56,114,70,13,2881,227,40,Warning
33,62,0.55,126,80,33,2956,252,70,Warning
34,56,1.49,107,90,44,608,214,106,Failure
35,77,1.27,121,61,12,1103,251,81,Failure
36,29,1.36,143,73,14,640,216,46,Failure
37,91,0.21,109,84,6,633,241,41,Failure
38,68,1.38,110,80,36,1979,229,113,Failure
39,44,0.56,127,64,19,2018,220,45,Normal
40,41,0.72,131,34,18,1433,260,82,Warning
41,31,0.86,131,70,30,2359,238,46,Warning
42,52,1.13,150,53,38,2779,205,79,Warning
43,27,1.15,94,62,5,2478,256,41,Warning
44,100,1.25,178,62,7,1301,237,92,Failure
45,20,0.03,173,44,31,2737,230,116,Failure
46,79,0.44,168,53,41,2796,229,114,Failure
47,75,0.45,124,87,40,1946,210,62,Warning
48,30,0.4,100,48,35,2975,225,83,Warning
49,54,1.12,161,84,49,1353,222,117,Failure
50,25,0.8,104,56,21,2769,200,115,Warning
51,74,1.16,172,57,39,2868,227,109,Failure
52,87,0.08,110,44,15,957,200,95,Failure
53,86,1.25,172,33,13,2675,238,86,Failure
54,44,1.47,163,65,16,1769,222,35,Failure
55,80,1.01,121,87,37,1936,260,63,Warning
56,33,1.25,112,90,12,2444,227,119,Failure
57,83,1.02,143,70,26,1972,207,108,Failure
58,25,1.09,112,67,14,2761,238,66,Warning
59,90,1.25,154,71,32,1284,240,120,Failure
60,47,1.18,148,79,24,1326,242,52,Warning
61,27,0.09,140,85,5,2699,214,110,Warning
62,94,0.36,108,32,37,1558,229,41,Failure
63,82,1.35,110,30,37,2613,243,85,Failure
64,83,1.45,148,83,13,2744,224,109,Failure
65,78,1.09,163,70,19,2065,249,99,Failure
66,54,0.08,174,66,19,2196,212,82,Failure
67,61,0.35,135,40,33,576,223,65,Warning
68,79,0.46,154,73,43,1801,235,93,Failure
69,71,0.19,107,51,35,942,258,68,Warning
70,65,0.39,92,52,48,2547,260,110,Failure
71,89,0.64,151,64,34,615,234,59,Failure
72,38,0.73,115,64,7,1466,225,67,Warning
73,42,1.17,112,84,38,2895,252,68,Warning
74,79,0.04,133,83,24,941,202,41,Warning
75,72,0.06,143,87,25,2532,212,109,Warning
76,100,0.3,113,65,50,1793,239,117,Failure
77,70,0.79,166,33,5,2411,235,40,Failure
78,34,0.35,107,88,17,2861,212,62,Normal
79,78,0.7,133,47,9,2172,248,34,Warning
80,37,0.62,153,37,30,1750,240,95,Warning
81,85,1.4,130,68,8,1075,204,70,Failure
82,29,0.82,145,66,20,2209,259,37,Warning
83,23,1.45,145,84,16,1199,241,67,Failure
84,69,0.98,177,89,19,2640,237,116,Failure
85,86,0.73,121,69,50,2652,241,72,Failure
86,28,0.57,145,47,41,2784,200,64,Failure
87,51,0.13,178,44,30,1490,213,91,Failure
88,92,1.48,177,89,33,2662,212,105,Failure
89,31,0.53,171,82,12,1922,225,77,Failure
90,64,0.9,123,63,42,912,234,78,Failure
91,25,1.48,156,62,14,896,205,43,Failure
92,72,0.46,147,84,35,2382,221,117,Warning
93,70,1.12,127,56,27,940,216,56,Warning
94,31,0.73,114,45,40,1304,216,97,Warning
95,36,0.4,168,55,48,719,242,41,Failure
96,44,0.67,133,66,43,2399,221,105,Failure
97,70,0.6,120,74,43,1759,225,72,Failure
98,39,0.17,119,46,28,905,237,86,Normal
99,38,1.15,135,49,33,1079,212,53,Warning
100,22,0.94,145,89,14,2072,221,56,Warning
101,48,0.91,176,63,6,2707,216,97,Failure
102,62,1.18,156,66,6,891,244,54,Warning
103,64,0.54,151,67,33,2002,222,74,Warning
104,33,1.41,179,45,36,1601,206,111,Failure
105,48,1.31,111,75,12,1244,205,106,Failure
106,63,0.96,118,56,48,966,204,104,Failure
107,64,1.23,97,30,19,1733,212,58,Failure
108,53,0.96,99,41,17,2805,242,45,Warning
109,96,0.24,175,89,34,2905,206,98,Failure
110,31,1.19,161,74,32,1995,225,54,Failure
111,58,0.68,115,59,29,2087,209,79,Warning
112,52,0.15,173,86,6,1611,205,43,Failure
113,72,0.25,148,87,41,941,223,60,Failure
114,67,0.11,145,64,30,2325,237,83,Warning
115,77,1.38,144,53,23,2411,230,31,Failure
116,52,0.82,152,75,16,2536,230,59,Warning
117,85,0.17,161,46,7,1174,228,55,Failure
118,75,1.34,106,54,22,928,241,31,Failure
119,21,0.22,137,67,6,591,203,89,Warning
120,94,0.42,149,90,25,662,258,49,Failure
121,52,0.38,112,56,23,1740,232,37,Normal
122,76,0.68,102,72,25,969,219,65,Warning
123,89,0.45,127,55,32,2608,257,39,Failure
124,36,0.25,140,44,11,2135,229,112,Warning
125,88,0.83,174,44,23,919,252,77,Failure
126,88,0.94,141,77,46,972,206,87,Failure
127,87,1.12,102,54,38,2488,246,117,Failure
128,47,0.56,128,49,42,1365,254,87,Failure
129,48,0.51,129,50,8,1957,243,71,Normal
130,43,0.65,178,36,26,2871,257,93,Failure
131,61,1.01,160,55,10,2661,225,97,Warning
132,79,1.32,163,65,29,855,204,38,Failure
133,73,0.83,145,71,34,1146,201,103,Warning
134,35,0.64,122,45,10,2522,215,104,Warning
