Time,Temperature,Vibration,Pressure,Humidity,Current,RPM,Voltage,Sound,Machine_Status
1,28,0.99,113,35,20,2553,222,46,Warning
2,33,0.97,135,87,41,1342,235,104,Failure
3,51,0.39,161,37,46,2952,253,68,Failure
4,82,0.12,168,64,12,2603,215,83,Failure
5,32,0.26,172,47,11,1778,244,83,Failure
6,60,1.23,129,61,48,2020,249,82,Failure
7,99,1.14,145,60,38,2039,230,48,Failure
8,70,0.84,151,36,33,510,229,61,Warning
9,79,0.15,117,33,7,2718,216,31,Warning
10,54,1.46,148,70,18,734,237,78,Failure
11,95,0.37,140,88,50,1210,255,72,Failure
12,67,0.65,137,50,18,1810,234,57,Warning
13,26,1.44,156,63,46,1379,224,38,Failure
14,56,0.58,120,68,22,1025,206,38,Warning
15,96,0.72,137,68,6,2808,214,33,Failure
16,37,0.67,157,44,49,1531,211,100,Failure
17,41,0.83,119,75,13,2776,218,39,Warning
18,25,0.98,119,30,34,2645,212,119,Warning
19,91,0.33,156,59,14,1251,241,116,Failure
20,100,1.37,180,41,21,635,259,93,Failure
21,97,1.26,119,86,22,952,244,42,Failure
22,65,0.86,101,71,7,909,243,31,Warning
23,67,0.92,99,60,20,2096,218,33,Warning
24,30,1.08,110,50,42,1834,223,89,Failure
25,79,0.19,178,41,8,2011,226,90,Failure
26,80,0.15,97,75,26,949,252,107,Warning
27,59,1.49,160,38,11,2682,250,45,Failure
28,41,0.76,140,65,24,2437,234,69,Warning
29,28,0.6,117,75,38,1537,236,116,Warning
30,90,0.28,145,77,10,1329,227,97,Failure
31,44,1.11,108,34,15,1610,225,33,Warning
32,59,0.08,180,30,14,1799,210,85,Failure
33,28,0.75,166,46,50,2726,236,97,Failure
34,41,1.06,135,50,9,2243,228,100,Warning
35,99,0.17,117,72,18,2547,212,108,Failure
36,65,1.01,106,80,37,1419,255,110,Warning
37,27,1.33,138,54,29,2461,257,30,Failure
38,85,0.77,97,38,18,1177,215,69,Failure
39,66,0.03,102,35,48,1482,253,107,Failure
40,68,1.29,102,52,41,635,257,61,Failure
41,89,1.07,90,69,38,2191,232,66,Failure
42,21,0.81,152,69,11,2341,226,120,Warning
43,57,0.43,172,78,30,946,240,106,Failure
44,75,1.28,110,65,7,1686,221,120,Failure
45,57,1.46,168,89,14,664,223,71,Failure
46,97,0.28,169,35,11,2232,203,56,Failure
47,34,0.3,163,58,46,650,210,118,Failure
48,24,1.31,123,35,8,694,213,45,Failure
49,30,0.41,139,30,46,1662,217,60,Failure
50,69,0.85,128,79,49,841,226,81,Failure
51,40,1.45,145,86,34,2054,213,118,Failure
52,39,0.69,129,89,34,686,215,67,Warning
53,51,0.83,133,65,18,2862,202,97,Warning
54,69,0.46,103,87,22,1871,213,48,Warning
55,68,0.16,154,83,42,2866,237,72,Failure
56,57,0.47,112,90,41,2494,260,45,Failure
57,28,0.83,158,84,30,703,216,53,Warning
58,68,0.12,139,86,6,546,242,98,Warning
59,92,1.46,148,38,25,1243,240,102,Failure
60,66,0.06,152,84,10,2706,248,42,Warning
61,87,0.45,136,61,46,1117,227,86,Failure
62,95,0.58,114,46,30,2959,245,93,Failure
63,81,1.46,129,75,36,2219,213,120,Failure
64,78,0.32,145,67,28,1278,200,85,Warning
65,77,1.28,117,43,38,2381,206,106,Failure
66,87,0.57,94,62,24,1853,228,105,Failure
67,53,1.02,90,75,20,2397,218,64,Warning
68,72,0.22,124,42,45,911,201,51,Failure
69,24,0.42,160,73,48,2450,207,109,Failure
70,66,1.5,171,61,36,1625,230,63,Failure
71,40,0.87,149,85,43,2143,220,103,Failure
72,97,1.05,151,41,37,2231,251,30,Failure
73,42,0.53,112,84,32,551,257,89,Warning
74,66,1.15,102,49,36,1935,214,44,Warning
75,74,0.14,152,68,14,2111,219,71,Warning
76,99,1.32,145,74,48,2544,226,88,Failure
77,54,1.19,168,32,48,2025,223,79,Failure
78,33,0.44,169,47,6,2527,206,47,Failure
79,80,1.02,112,73,48,1276,230,44,Failure
80,87,0.73,115,74,38,1172,224,73,Failure
81,77,0.9,91,63,32,1997,212,42,Warning
82,99,1.22,132,73,36,1942,234,60,Failure
83,60,0.66,154,52,20,1835,236,53,Warning
84,26,0.64,158,87,7,1324,225,75,Warning
85,30,0.43,169,53,22,2686,252,48,Failure
86,40,1.19,150,90,17,2545,204,73,Warning
87,59,0.05,169,59,34,2694,228,70,Failure
88,97,1.11,159,52,22,960,228,66,Failure
89,90,1.43,174,57,24,1711,210,55,Failure
90,47,0.39,164,86,46,2382,243,110,Failure
91,51,0.95,161,80,17,1986,215,60,Failure
92,33,1.11,128,76,15,729,222,85,Warning
93,21,0.98,110,74,9,687,259,94,Warning
94,52,0.95,130,78,37,1626,247,67,Warning
95,46,0.93,117,52,42,1948,206,30,Failure
96,37,0.61,148,42,5,1409,256,54,Warning
97,95,0.81,128,61,35,1393,217,76,Failure
98,99,0.1,172,69,7,917,227,84,Failure
99,42,0.36,117,56,13,771,202,37,Normal
100,70,1.3,124,30,39,1313,247,119,Failure
101,68,0.4,122,68,17,1487,233,65,Warning
102,47,0.75,150,55,43,2011,205,106,Failure
103,79,0.67,136,47,36,777,238,50,Warning
104,87,0.27,179,63,44,1600,245,41,Failure
105,33,0.88,141,30,7,1394,213,119,Warning
106,72,0.02,146,63,15,1299,221,56,Warning
107,94,1.42,148,54,16,1727,215,76,Failure
108,95,0.57,109,90,5,1889,249,100,Failure
109,79,0.24,174,74,28,2075,224,55,Failure
110,27,0.55,129,63,26,1620,209,101,Normal
111,51,1.05,172,50,26,1466,208,119,Failure
112,32,1.11,119,63,13,2241,206,72,Warning
113,44,0.26,92,88,31,823,208,97,Warning
114,83,0.7,128,32,24,2016,216,40,Failure
115,67,0.94,108,69,38,1365,245,101,Warning
116,76,1.23,143,77,42,1856,218,115,Failure
117,21,1.05,164,69,9,1436,212,76,Failure
118,65,0.38,171,66,31,2179,215,33,Failure
119,87,0.18,135,65,19,2669,251,115,Failure
120,77,0.91,105,37,40,1677,228,84,Warning
121,85,0.69,172,49,29,1413,223,69,Failure
122,38,1.25,163,60,37,2511,222,38,Failure
123,51,0.91,93,38,38,507,228,115,Warning
124,80,1.42,104,30,30,1254,226,92,Failure
125,28,0.41,101,41,38,1712,212,101,Warning
126,66,1.12,145,68,25,1617,212,104,Warning
127,69,0.09,153,69,43,2644,254,30,Failure
128,78,1.02,109,30,14,2110,241,69,Warning
129,86,0.56,102,63,6,676,233,67,Failure
130,92,0.87,156,72,50,1903,216,97,Failure
131,93,0.51,144,83,7,2524,212,51,Failure
132,52,0.22,119,47,25,733,240,93,Normal
133,34,0.64,173,58,48,1281,257,68,Failure
134,75,0.27,134,82,39,2015,231,58,Warning
135,33,1.13,121,43,28,961,253,111,Warning
136,66,0.07,124,41,44,2494,215,40,Failure
137,98,0.9,98,60,34,2930,232,109,Failure
138,62,0.25,134,60,16,1074,254,101,Warning
139,67,0.56,96,31,18,2052,225,108,Warning
140,80,0.45,95,55,14,511,215,90,Warning
141,23,0.59,147,70,28,1022,213,77,Warning
142,94,0.18,155,80,8,1059,211,78,Failure
143,87,1.13,137,38,30,766,224,79,Failure
144,71,0.5,166,59,17,2996,211,69,Failure
145,50,1.1,122,86,8,2315,232,56,Warning
146,21,1.44,133,44,25,700,201,110,Failure
147,54,0.81,163,56,18,1746,252,76,Failure
148,60,0.71,111,77,26,506,259,112,Warning
149,88,1.43,121,70,24,1992,207,119,Failure
150,74,1.31,95,32,23,511,259,81,Failure
151,26,0.67,103,80,8,2459,226,66,Warning
152,55,0.17,152,47,41,1535,254,92,Failure
153,81,1.43,175,47,13,1335,215,44,Failure
154,97,0.93,137,68,5,2901,246,85,Failure
155,75,0.33,170,70,27,2554,239,77,Failure
156,72,0.33,133,78,39,2011,211,72,Warning
157,50,0.62,144,31,10,1744,254,62,Warning
158,55,0.36,95,87,11,802,222,77,Normal
159,91,1.38,179,77,6,2364,210,55,Failure
160,54,0.61,167,36,35,1403,236,33,Failure
161,80,0.52,124,34,32,1085,214,66,Warning
162,25,0.07,96,67,35,1814,226,49,Warning
163,70,0.73,129,69,37,2696,256,56,Warning
164,28,1.34,120,82,30,1579,242,94,Failure
165,36,1.21,123,31,34,1274,222,107,Failure
166,50,0.26,100,42,25,2169,213,52,Normal
167,43,0.52,135,66,31,1448,217,92,Warning
168,49,0.82,110,35,28,2449,200,92,Warning
169,96,0.08,173,87,13,1292,216,111,Failure
170,91,0.62,99,88,42,1655,237,88,Failure
171,34,0.32,112,80,33,2521,203,82,Warning
172,75,1.01,173,84,8,1993,253,74,Failure
173,49,0.18,146,44,31,956,237,35,Warning
174,70,0.68,120,72,28,1284,247,103,Warning
175,64,0.46,149,55,15,1810,234,95,Warning
176,48,1.12,105,60,37,2522,244,78,Warning
177,88,0.14,114,77,11,1814,234,99,Failure
178,61,0.91,158,48,17,2507,233,87,Warning
179,81,0.53,131,89,19,742,219,48,Failure
180,26,1.14,104,79,50,1560,213,96,Failure
181,43,1.03,145,46,43,2364,255,88,Failure
182,36,1.0,160,76,43,1197,239,117,Failure
183,70,1.3,152,36,26,2871,211,42,Failure
184,87,0.32,145,87,18,2266,241,96,Failure
185,76,1.22,168,33,43,846,231,85,Failure
186,99,0.5,120,84,15,2749,252,69,Failure
187,68,1.11,139,70,10,2879,228,46,Warning
188,44,0.19,132,78,50,2457,242,69,Failure
189,26,0.27,90,84,38,1983,259,37,Warning
190,87,0.65,155,33,5,2189,238,72,Failure
191,70,1.29,145,75,21,2466,214,76,Failure
192,43,1.0,118,51,15,2625,205,87,Warning
193,36,0.34,129,36,10,816,204,68,Normal
194,61,1.46,102,47,46,2580,231,63,Failure
195,52,1.37,120,80,6,580,246,35,Failure
196,88,0.12,101,78,45,1969,209,117,Failure
197,20,0.54,127,47,17,699,203,37,Normal
198,90,0.96,172,56,14,2428,227,88,Failure
199,40,0.18,98,79,39,1484,213,113,Warning
200,82,0.52,98,37,15,2271,240,54,Failure
201,21,1.15,108,85,38,1290,253,55,Warning
202,79,0.39,176,59,37,2633,207,103,Failure
203,27,0.9,92,71,10,741,244,43,Warning
204,43,1.14,120,40,49,2867,223,54,Failure
205,30,0.09,108,41,42,1074,203,106,Failure
206,37,0.1,97,57,22,2911,210,38,Normal
207,26,1.11,105,47,15,2759,212,86,Warning
208,67,1.47,132,37,36,551,246,87,Failure
209,77,1.02,109,70,22,2269,239,33,Warning
210,89,0.71,104,54,42,1648,244,114,Failure
211,64,0.12,111,34,13,780,245,46,Warning
212,26,0.36,154,70,40,971,243,111,Warning
213,92,1.38,101,76,19,1931,259,52,Failure
214,34,0.52,168,68,46,2283,259,68,Failure
215,83,1.39,92,49,6,1100,202,34,Failure
216,91,1.23,151,63,45,2726,236,120,Failure
217,52,0.86,170,38,37,2223,210,68,Failure
218,28,0.33,125,40,15,671,216,66,Normal
219,81,1.18,150,53,32,2511,208,59,Failure
220,70,0.81,167,70,8,2423,249,81,Failure
221,75,1.05,99,68,38,2506,235,90,Warning
222,68,0.64,111,87,44,2187,230,38,Failure
223,68,1.43,164,52,5,1665,218,114,Failure
224,28,0.64,119,49,34,655,229,118,Warning
225,32,0.81,93,58,50,1601,207,56,Failure
226,20,1.04,172,64,10,1000,244,118,Failure
227,88,0.6,125,39,38,1490,229,120,Failure
228,94,0.15,104,55,6,1191,221,80,Failure
229,28,0.79,170,80,6,1597,243,52,Failure
230,44,1.2,127,72,39,2013,238,43,Warning
231,50,0.12,175,37,9,1723,247,106,Failure
232,98,0.04,106,62,50,899,248,43,Failure
233,51,1.11,128,77,37,2784,240,112,Warning
234,49,0.96,117,53,48,2706,237,89,Failure
235,84,0.27,120,36,44,2825,208,92,Failure
236,64,1.09,131,38,43,2753,245,64,Failure
237,93,0.57,160,83,31,2269,220,109,Failure
238,61,0.1,152,86,40,1898,233,39,Warning
239,84,1.15,140,33,46,1693,234,85,Failure
240,21,0.82,103,71,39,1134,216,105,Warning
241,76,1.19,147,53,13,1191,231,100,Warning
242,53,0.9,144,84,18,1356,222,61,Warning
243,69,1.45,155,35,21,1522,203,101,Failure
244,57,1.29,114,33,22,1010,212,56,Failure
245,59,0.88,140,46,30,1930,252,65,Warning
246,96,0.7,155,52,13,2612,201,109,Failure
247,31,1.37,132,66,12,1631,223,48,Failure
248,69,0.68,173,60,5,1115,249,33,Failure
249,97,1.01,132,63,11,2594,211,101,Failure
250,73,1.46,109,70,11,640,226,83,Failure
251,86,0.75,93,75,10,2898,225,82,Failure
